RUN	botiqueClass.Boutiquee	boutiquee	1682420487814	test	3.9.0
USER	Online Boutique Home Page	START	1682420488665
REQUEST		To_Home	1682420488666	1682420488666	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488666
USER	Online Boutique Home Page	END	1682420488666
USER	Online Boutique Home Page	END	1682420488666
REQUEST		To_Home	1682420488668	1682420488668	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488668
REQUEST		To_Home	1682420488669	1682420488669	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488669
REQUEST		To_Home	1682420488670	1682420488670	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488671
USER	Online Boutique Home Page	END	1682420488672
USER	Online Boutique Home Page	END	1682420488672
USER	Online Boutique Home Page	END	1682420488672
REQUEST		To_Home	1682420488672	1682420488672	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	START	1682420488673
REQUEST		To_Home	1682420488673	1682420488674	KO	j.n.UnknownHostException: onlineboutique.dev
USER	Online Boutique Home Page	END	1682420488674
USER	Online Boutique Home Page	START	1682420488674
USER	Online Boutique Home Page	END	1682420488674
